date, pm25, pm10, o3, no2, so2, co
2025/11/1, 38, 5, 27, 4, , 
2025/11/2, 15, 6, 29, 4, , 
2025/11/3, 10, 9, 19, 8, , 
2025/11/4, 18, 20, 10, 9, , 
2025/11/5, 47, 12, 3, 8, , 
2025/11/6, 40, 14, 3, 9, , 
2025/11/7, 39, 14, 8, 10, , 
2025/11/8, 46, 10, 21, 5, , 
2025/11/9, 33, 14, 18, 7, , 
2025/11/10, 36, 16, 19, 9, , 
2025/11/11, 30, 15, 8, 7, , 
2025/11/12, 42, 12, 7, 14, , 
2025/11/13, 34, 21, 9, 10, , 
2025/11/14, 43, 23, 3, 7, , 
2025/11/15, 61, 14, 15, 8, , 
2025/11/16, 38, 11, 15, 6, , 
2025/11/17, 33, , , , , 
2025/10/1, 22, 12, 23, 6, , 
2025/10/2, 38, 14, 29, 4, , 
2025/10/3, 35, 4, 27, 5, , 
2025/10/4, 19, 5, 24, 1, , 
2025/10/5, 13, 8, 20, 2, , 
2025/10/6, 16, 4, 20, 4, , 
2025/10/7, 18, 14, 21, 5, , 
2025/10/8, 35, 9, 7, 8, , 
2025/10/9, 30, 23, 22, 6, , 
2025/10/10, 32, 12, 29, 4, , 
2025/10/11, 38, 21, 27, 4, , 
2025/10/12, 37, 12, 20, 4, , 
2025/10/13, 32, 20, , 7, , 
2025/10/14, 35, 16, 16, 9, , 
2025/10/15, 24, 32, 7, 10, , 
2025/10/16, 39, 16, 17, 9, , 
2025/10/17, 37, 7, 22, 6, , 
2025/10/18, 27, 11, 11, 4, , 
2025/10/19, 29, 21, 8, 8, , 
2025/10/20, 41, 5, 27, 9, , 
2025/10/21, 29, 8, 17, 9, , 
2025/10/22, 26, 4, 29, 5, , 
2025/10/23, 13, 3, 27, 2, , 
2025/10/24, 8, 1, 26, 1, , 
2025/10/25, 3, 2, 27, 1, , 
2025/10/26, 4, 4, 25, 1, , 
2025/10/27, 5, 8, 27, 2, , 
2025/10/28, 12, 15, 20, 7, , 
2025/10/29, 20, 12, 28, 8, , 
2025/10/30, 25, 6, 6, 10, , 
2025/10/31, 44, 12, 17, 7, , 
2025/7/1, 37, 17, 51, 4, , 
2025/7/2, 12, 20, 49, 3, , 
2025/7/3, 41, 16, 44, 4, , 
2025/7/4, 39, 17, 55, 5, , 
2025/7/5, 48, 12, 45, 5, , 
2025/7/6, 36, 7, 31, 1, , 
2025/7/7, 16, 6, 31, 2, , 
2025/7/8, 17, 7, 33, 2, , 
2025/7/9, 13, 11, 40, 3, , 
2025/7/10, 21, 13, 36, 5, , 
2025/7/11, 38, 10, 40, 3, , 
2025/7/12, 27, 12, 43, 3, , 
2025/7/13, 27, 8, 38, 2, , 
2025/7/14, 13, 9, 31, 3, , 
2025/7/15, 27, 11, 31, 2, , 
2025/7/16, 35, 6, 38, 2, , 
2025/7/17, 7, 12, 46, 4, , 
2025/7/18, 11, 16, 49, 4, , 
2025/7/19, 35, 11, 45, 1, , 
2025/7/20, 24, 6, 38, 3, , 
2025/7/21, 25, 6, 29, 1, , 
2025/7/23, 47, 13, 30, 6, , 
2025/7/24, 44, 16, 31, 4, , 
2025/7/25, 46, 14, 23, 5, , 
2025/7/26, 35, 7, 33, 2, , 
2025/7/27, 13, 5, 23, 2, , 
2025/7/28, 9, 8, 27, 3, , 
2025/7/29, 24, 7, 30, 3, , 
2025/7/30, 18, 6, 30, 3, , 
2025/7/31, 12, 6, 30, 3, , 
2025/8/1, 8, 7, 28, 3, , 
2025/8/2, 17, 5, 25, 1, , 
2025/8/3, 6, 7, 26, 3, , 
2025/8/4, 9, 9, 31, 3, , 
2025/8/5, 10, 9, 37, 4, , 
2025/8/6, 11, 13, 43, 6, , 
2025/8/7, 29, 16, 52, 5, , 
2025/8/8, 53, 22, 52, 5, , 
2025/8/9, 72, 24, 48, 3, , 
2025/8/10, 76, 20, 47, 3, , 
2025/8/11, 59, 25, 49, 6, , 
2025/8/12, 52, 27, 45, 4, , 
2025/8/13, 57, 28, 61, 6, , 
2025/8/14, 66, 29, 56, 6, , 
2025/8/15, 69, 20, 49, 4, , 
2025/8/16, 53, 500, 39, 4, , 
2025/8/17, 55, , 39, 4, , 
2025/8/18, 34, 19, 46, 6, , 
2025/8/19, 34, 24, 46, 5, , 
2025/8/20, 51, 25, 29, 4, , 
2025/8/21, 49, 10, 35, 4, , 
2025/8/22, 34, 11, 35, 3, , 
2025/8/23, 26, 11, 38, 3, , 
2025/8/24, 28, 14, 44, 5, , 
2025/8/25, 40, 16, 44, 5, , 
2025/8/26, 37, 19, 46, 3, , 
2025/8/27, 56, 10, 29, 4, , 
2025/8/28, 35, 5, 35, 3, , 
2025/8/29, 9, 6, 27, 4, , 
2025/8/30, 15, 1, 30, 2, , 
2025/8/31, 7, 8, 26, 4, , 
2025/9/1, 21, 7, 23, 3, , 
2025/9/2, 14, 5, 30, 4, , 
2025/9/3, 12, 5, 32, 3, , 
2025/9/4, 21, 3, 27, 2, , 
2025/9/5, 15, 4, 30, 2, , 
2025/9/6, 11, 8, 27, 3, , 
2025/9/7, 32, 18, 31, 5, , 
2025/9/8, 40, 20, 19, 6, , 
2025/9/9, 41, 7, 18, 5, , 
2025/9/10, 28, 2, 26, 4, , 
2025/9/11, 8, 1, 23, 3, , 
2025/9/12, 13, 3, 28, 3, , 
2025/9/13, 17, 3, 25, 2, , 
2025/9/14, 13, 1, 26, 2, , 
2025/9/15, 12, 4, 30, 1, , 
2025/9/16, 14, 6, 29, 2, , 
2025/9/17, 20, 8, 38, 6, , 
2025/9/18, 29, 23, 35, 6, , 
2025/9/19, 29, 26, 40, 5, , 
2025/9/20, 41, 17, 45, 4, , 
2025/9/21, 45, 15, 23, 3, , 
2025/9/22, 16, 10, 13, 2, , 
2025/9/23, 23, 13, 13, 3, , 
2025/9/24, 22, 4, 16, 6, , 
2025/9/25, 9, 12, 14, 4, , 
2025/9/26, 27, 21, 18, 5, , 
2025/9/27, 36, 17, 18, 3, , 
2025/9/28, 45, 23, 14, 6, , 
2025/9/29, 50, 20, 20, 6, , 
2025/9/30, 46, 6, 24, 4, , 
2025/4/1, 38, 16, 36, 2, , 
2025/4/2, 48, 13, 39, 4, , 
2025/4/3, 44, 15, 40, 9, , 
2025/4/4, 40, 18, 42, 9, , 
2025/4/5, 44, 6, 38, 1, , 
2025/4/6, 17, 7, 36, 4, , 
2025/4/7, 18, 13, 38, 5, , 
2025/4/8, 29, 22, 37, 8, , 
2025/4/9, 53, 24, 39, 7, , 
2025/4/10, 55, 26, 42, 8, , 
2025/4/11, 53, 21, 41, 7, , 
2025/4/12, 41, 18, 42, 6, , 
2025/4/13, 44, 25, 42, 8, , 
2025/4/14, 57, 20, 37, 9, , 
2025/4/15, 35, 20, 38, 8, , 
2025/4/16, 46, 24, 23, 3, , 
2025/4/17, 59, 5, 25, 3, , 
2025/4/18, 9, 10, 40, 5, , 
2025/4/19, 10, 13, 40, 4, , 
2025/4/20, 16, 5, 37, 3, , 
2025/4/23, 10, 7, 32, 2, , 
2025/4/25, 21, 12, 31, 2, , 
2025/4/26, 35, 12, 40, 3, , 
2025/4/27, 30, 19, 44, 7, , 
2025/4/28, 47, 19, 46, 7, , 
2025/4/29, 49, 20, 50, 8, , 
2025/4/30, 43, 19, 52, 7, , 
2025/5/1, 46, 289, 59, 7, , 
2025/5/2, 43, , 40, 3, , 
2025/5/3, 26, , 35, 2, , 
2025/5/4, 30, , 27, 2, , 
2025/5/5, 57, , 26, 2, , 
2025/5/6, 24, , 39, 3, , 
2025/5/7, 47, , 32, 3, , 
2025/5/8, 54, , 37, 3, , 
2025/5/9, 40, , 44, 5, , 
2025/5/10, 31, , 41, 5, , 
2025/5/11, 31, , 44, 4, , 
2025/5/12, 13, , 52, 5, , 
2025/5/13, 31, 16, 57, 7, , 
2025/5/14, 47, 15, 43, 4, , 
2025/5/15, 42, 10, 36, 4, , 
2025/5/16, 25, 9, 39, 4, , 
2025/5/17, 16, 13, 44, 2, , 
2025/5/18, 35, 12, 47, 4, , 
2025/5/19, 25, 17, 47, 5, , 
2025/5/20, 17, 14, 43, 4, , 
2025/5/21, 20, 15, 37, 3, , 
2025/5/22, 45, 11, 36, 4, , 
2025/5/23, 25, 13, 40, 6, , 
2025/5/24, 16, 9, 34, 2, , 
2025/5/25, 15, 9, 29, 2, , 
2025/5/26, 16, 10, 37, 4, , 
2025/5/27, 24, 8, 30, 3, , 
2025/5/28, 16, 9, 33, 1, , 
2025/5/29, 22, 10, 40, 4, , 
2025/5/30, 21, 15, 44, 5, , 
2025/5/31, 31, 12, 41, 3, , 
2025/6/1, 25, 12, 37, 3, , 
2025/6/2, 21, 9, 37, 3, , 
2025/6/3, 24, 10, 40, 3, , 
2025/6/4, 23, 6, 34, 3, , 
2025/6/5, 7, 6, 31, 2, , 
2025/6/6, 6, 7, 26, 2, , 
2025/6/7, 4, 7, 30, 2, , 
2025/6/8, 49, 10, 38, 2, , 
2025/6/9, 33, 32, 63, 4, , 
2025/6/10, 92, 18, 43, 3, , 
2025/6/11, 59, 15, 54, 3, , 
2025/6/12, 47, 16, 62, 3, , 
2025/6/13, 50, 17, 57, 5, , 
2025/6/14, 51, 22, 45, 5, , 
2025/6/15, 57, 11, 39, 2, , 
2025/6/16, 36, 12, 43, 3, , 
2025/6/17, 38, 15, 59, 6, , 
2025/6/18, 46, 21, 65, 6, , 
2025/6/19, 60, 11, 43, 2, , 
2025/6/20, 37, 12, 53, 4, , 
2025/6/21, 34, 17, 68, 4, , 
