date, pm25, pm10, o3, no2, so2, co
2025/11/1, 47, 8, , 16, , 
2025/11/2, 16, 9, , 20, , 
2025/11/3, 11, 13, , 18, , 
2025/11/4, 17, 23, , 18, , 
2025/11/5, 55, 26, , 14, , 
2025/11/6, 65, 16, , 14, , 
2025/11/7, 45, 19, , 16, , 
2025/11/8, 54, 16, , 16, , 
2025/11/9, 44, 13, , 19, , 
2025/11/10, 39, 15, , 23, , 
2025/11/11, 40, 21, , 18, , 
2025/11/12, 48, 23, , 29, , 
2025/11/13, 47, 35, , 28, , 
2025/11/14, 58, 32, , 17, , 
2025/11/15, 55, 20, , 18, , 
2025/11/16, 41, 13, , 15, , 
2025/11/17, 41, , , , , 
2025/10/1, 28, 11, , 11, , 
2025/10/2, 35, 11, , 11, , 
2025/10/3, 36, 10, , 15, , 
2025/10/4, 19, 7, , 10, , 
2025/10/5, 6, 10, , 17, , 
2025/10/6, 17, 10, , 19, , 
2025/10/7, 23, 15, , 14, , 
2025/10/8, 39, 17, , 15, , 
2025/10/9, 42, 18, , 16, , 
2025/10/10, 46, 12, , 15, , 
2025/10/11, 27, 15, , 10, , 
2025/10/12, 43, 12, , 12, , 
2025/10/13, 32, 19, , 18, , 
2025/10/14, 54, 17, , 17, , 
2025/10/15, 38, 24, , 17, , 
2025/10/16, 62, 19, , 20, , 
2025/10/17, 50, 11, , 16, , 
2025/10/18, 21, 12, , 9, , 
2025/10/19, 28, 20, , 17, , 
2025/10/20, 45, 14, , 23, , 
2025/10/21, 28, 13, , 20, , 
2025/10/22, 24, 8, , 16, , 
2025/10/23, 9, 6, , 14, , 
2025/10/24, 10, 4, , 14, , 
2025/10/26, 6, 4, , 9, , 
2025/10/27, 4, 8, , 13, , 
2025/10/28, 8, 12, , 18, , 
2025/10/29, 27, 14, , 25, , 
2025/10/30, 33, 22, , 16, , 
2025/10/31, 51, 18, , 17, , 
2025/7/1, 45, 20, , 18, , 
2025/7/2, 52, 25, , 26, , 
2025/7/3, 47, 17, , 18, , 
2025/7/4, 42, 18, , 19, , 
2025/7/5, 52, 13, , 17, , 
2025/7/6, 28, 10, , 16, , 
2025/7/7, 20, 9, , 18, , 
2025/7/8, 24, 12, , 19, , 
2025/7/9, 30, 15, , 23, , 
2025/7/10, 38, 16, , 21, , 
2025/7/11, 40, 11, , 18, , 
2025/7/12, 35, 13, , 18, , 
2025/7/13, 41, 12, , 21, , 
2025/7/14, 36, 14, , 20, , 
2025/7/15, 40, 15, , 17, , 
2025/7/16, 36, 11, , 20, , 
2025/7/17, 26, 16, , 26, , 
2025/7/18, 44, 18, , 17, , 
2025/7/19, 49, 10, , 8, , 
2025/7/20, 34, 10, , 20, , 
2025/7/21, 19, 9, , 16, , 
2025/7/22, 12, 13, , 22, , 
2025/7/23, 25, 15, , 22, , 
2025/7/24, 44, 16, , 17, , 
2025/7/25, 45, 13, , 16, , 
2025/7/26, 40, 9, , 14, , 
2025/7/27, 26, 10, , 17, , 
2025/7/28, 21, 12, , 18, , 
2025/7/29, 30, 12, , 20, , 
2025/7/30, 35, 10, , 20, , 
2025/7/31, 27, 11, , 20, , 
2025/8/1, 29, 9, , 17, , 
2025/8/2, 28, 8, , 12, , 
